kod,obor,zneni,charakteristika,popis,zkratka,umap_x,umap_y
CJS-CJS-004-ZV5-020,Člověk a jeho svět,Porovná základní vlastnosti látek jednotlivých skupenství na základě vlastních pokusů.,Ověří experimentálně vybrané vlastnosti látek. Zdůvodní výběr látky (materiálu) pro výrobu konkrétních předmětů.  Popíše skupenství vody při oběhu vody na Zemi. Uvede příklady látek v různých skupenstvích.,Porovná základní vlastnosti látek jednotlivých skupenství na základě vlastních pokusů. Ověří experimentálně vybrané vlastnosti látek. Zdůvodní výběr látky (materiálu) pro výrobu konkrétních předmětů.  Popíše skupenství vody při oběhu vody na Zemi. Uvede příklady látek v různých skupenstvích.,CJS,-6.831996,-5.9541774
CJS-CJS-004-ZV5-015,Člověk a jeho svět,"Porovná na základě pozorování rozmanitost živé a neživé přírody ve svém okolí a realizuje zásah, kterým tuto rozmanitost podpoří.","Určí daný organismus s pomocí určovacího klíče, atlasu nebo aplikace.  Vyvozuje vlastnosti společné pro danou skupinu organismů.  Reflektuje a hodnotí dopady jím realizovaného opatření podporujícího biodiverzitu v blízkém okolí školy či regionu.","Porovná na základě pozorování rozmanitost živé a neživé přírody ve svém okolí a realizuje zásah, kterým tuto rozmanitost podpoří. Určí daný organismus s pomocí určovacího klíče, atlasu nebo aplikace.  Vyvozuje vlastnosti společné pro danou skupinu organismů.  Reflektuje a hodnotí dopady jím realizovaného opatření podporujícího biodiverzitu v blízkém okolí školy či regionu.",CJS,9.986072,-4.0298357
CJS-CJS-004-ZV5-016,Člověk a jeho svět,Zhodnotí vliv podmínek prostředí na životní funkce a projevy vybraných organismů na základě vlastního pokusu.,"Identifikuje fenomény spojené se životními projevy vybrané skupiny organismů.  Zkoumá experimentálně a zaznamená vliv dané podmínky na zvolený fenomén.  Popíše svá zjištění, formuluje závěry svého experimentování. Porovná své závěry s informacemi z externích zdrojů. Zhodnotí možné pozitivní i negativní dopady změny podmínek na život organismů.","Zhodnotí vliv podmínek prostředí na životní funkce a projevy vybraných organismů na základě vlastního pokusu. Identifikuje fenomény spojené se životními projevy vybrané skupiny organismů.  Zkoumá experimentálně a zaznamená vliv dané podmínky na zvolený fenomén.  Popíše svá zjištění, formuluje závěry svého experimentování. Porovná své závěry s informacemi z externích zdrojů. Zhodnotí možné pozitivní i negativní dopady změny podmínek na život organismů.",CJS,15.0253,-9.458965
CJS-CJS-004-ZV5-018,Člověk a jeho svět,Oceňuje rozmanitost přírody a způsobů jejího poznávání na základě reflexe společně prožité výukové zkušenosti.,Reflektuje své pocity z poznávání přírodnin prostřednictvím smyslů. Porovná rozdílné přístupy ve sdílení poznávání v rámci různých přírodovědných vzdělávacích institucí. Hodnotí svými slovy význam přírodovědných vzdělávacích institucí v kontextu sdílení poznávání pro sebe i pro společnost.,Oceňuje rozmanitost přírody a způsobů jejího poznávání na základě reflexe společně prožité výukové zkušenosti. Reflektuje své pocity z poznávání přírodnin prostřednictvím smyslů. Porovná rozdílné přístupy ve sdílení poznávání v rámci různých přírodovědných vzdělávacích institucí. Hodnotí svými slovy význam přírodovědných vzdělávacích institucí v kontextu sdílení poznávání pro sebe i pro společnost.,CJS,10.165226,-3.8813899
CJS-CJS-005-ZV5-030,Člověk a jeho svět,"Uplatňuje respektující chování při navazování vztahů a orientuje se v bezpečných způsobech sexuálního chování, obrátí se na důvěryhodnou osobu či instituci v případě pocitu ohrožení.","Rozhodne na modelových příkladech, které chování ve vztahu lze považovat za respektující a bezpečné a proti kterým způsobům chování je třeba se vymezit. Uvede, na kterou důvěryhodnou osobu či instituci se obrátí v případě pocitu ohrožení sexuálním zneužíváním.   Rozpozná na modelových příkladech projevy partnerského, sexuálního a/nebo genderově podmíněného násilí. Uplatňuje v modelových situacích respektující chování při navazování vrstevnických vztahů. Identifikuje v modelových situacích chování osob, kterým ohrožují bezpečí druhých, a zdůvodní právo takové chování odmítnout.","Uplatňuje respektující chování při navazování vztahů a orientuje se v bezpečných způsobech sexuálního chování, obrátí se na důvěryhodnou osobu či instituci v případě pocitu ohrožení. Rozhodne na modelových příkladech, které chování ve vztahu lze považovat za respektující a bezpečné a proti kterým způsobům chování je třeba se vymezit. Uvede, na kterou důvěryhodnou osobu či instituci se obrátí v případě pocitu ohrožení sexuálním zneužíváním.   Rozpozná na modelových příkladech projevy partnerského, sexuálního a/nebo genderově podmíněného násilí. Uplatňuje v modelových situacích respektující chování při navazování vrstevnických vztahů. Identifikuje v modelových situacích chování osob, kterým ohrožují bezpečí druhých, a zdůvodní právo takové chování odmítnout.",CJS,16.794344,10.532066
CJS-CJS-005-ZV5-029,Člověk a jeho svět,"V modelové situaci ošetří drobná poranění a poranění menšího rozsahu, odliší je od závažných úrazů a život ohrožujících stavů a přivolá první pomoc.","Předvede v modelové situaci správný postup ošetření drobného poranění. Uvede, na koho se v případě úrazu ve škole obrátit. Předvede v modelové situaci při ošetření krvácejícího poranění, jak se chránit před možnou nákazou krví. Předvede správný způsob volání na záchrannou službu a komunikaci s operátorem.","V modelové situaci ošetří drobná poranění a poranění menšího rozsahu, odliší je od závažných úrazů a život ohrožujících stavů a přivolá první pomoc. Předvede v modelové situaci správný postup ošetření drobného poranění. Uvede, na koho se v případě úrazu ve škole obrátit. Předvede v modelové situaci při ošetření krvácejícího poranění, jak se chránit před možnou nákazou krví. Předvede správný způsob volání na záchrannou službu a komunikaci s operátorem.",CJS,12.8291445,-5.043435
CJS-CJS-005-ZV5-025,Člověk a jeho svět,Předvede v modelové situaci základní techniky odmítnutí návykových látek a posoudí vliv návykových látek a závislostního chování na zdraví člověka.,"Zdůvodní výhody, které přináší život bez závislostí. Popíše vliv zneužívání nejčastějších návykových látek na zdraví člověka. Vybere, na koho se může obrátit v situacích, kdy se v jeho okolí vyskytne problém související se zneužíváním návykových látek či ohrožení závislostním chováním.  Uvede rizika spojená s nadměrným používáním digitálních technologií.","Předvede v modelové situaci základní techniky odmítnutí návykových látek a posoudí vliv návykových látek a závislostního chování na zdraví člověka. Zdůvodní výhody, které přináší život bez závislostí. Popíše vliv zneužívání nejčastějších návykových látek na zdraví člověka. Vybere, na koho se může obrátit v situacích, kdy se v jeho okolí vyskytne problém související se zneužíváním návykových látek či ohrožení závislostním chováním.  Uvede rizika spojená s nadměrným používáním digitálních technologií.",CJS,1.0808291,-1.9025398
CJS-CJS-005-ZV5-027,Člověk a jeho svět,"Zdůvodní význam bezpečného chování při styku s hořlavými látkami a zábavní pyrotechnikou, aplikuje pravidla protipožární ochrany v modelových situacích.","Převede v modelové situaci, jak se zachovat v případě vzniku požáru. Uvede příklady, jak může vzniknout oheň doma i v přírodě. Předvede v modelové situaci, jak se chovat, aby nezpůsobil požár. Rozpozná piktogramy pro označování hořlavých a výbušných látek. Odmítne v modelové situaci použití zábavní pyrotechniky a manipulaci s otevřeným ohněm.","Zdůvodní význam bezpečného chování při styku s hořlavými látkami a zábavní pyrotechnikou, aplikuje pravidla protipožární ochrany v modelových situacích. Převede v modelové situaci, jak se zachovat v případě vzniku požáru. Uvede příklady, jak může vzniknout oheň doma i v přírodě. Předvede v modelové situaci, jak se chovat, aby nezpůsobil požár. Rozpozná piktogramy pro označování hořlavých a výbušných látek. Odmítne v modelové situaci použití zábavní pyrotechniky a manipulaci s otevřeným ohněm.",CJS,8.627669,-8.745491
CJS-CJS-005-ZV5-032,Člověk a jeho svět,Navrhne celodenní stravu pro sebe a zhodnotí ji z hlediska základních výživových doporučení.,"Zhodnotí pestrost svého jídelníčku, navrhne jídelníček pro sebe na jeden den. Vysvětlí souvislost mezi konzumací některých potravin a prevencí zubního kazu. Vysvětlí zásady a význam stravovacího a pitného režimu, který podporuje zdraví a minimalizuje jeho možné poškození. Navrhne a připraví jednoduchý pokrm a nápoj v souladu s výživovým doporučením. Dodržuje pravidla správného stolování a společenského chování.","Navrhne celodenní stravu pro sebe a zhodnotí ji z hlediska základních výživových doporučení. Zhodnotí pestrost svého jídelníčku, navrhne jídelníček pro sebe na jeden den. Vysvětlí souvislost mezi konzumací některých potravin a prevencí zubního kazu. Vysvětlí zásady a význam stravovacího a pitného režimu, který podporuje zdraví a minimalizuje jeho možné poškození. Navrhne a připraví jednoduchý pokrm a nápoj v souladu s výživovým doporučením. Dodržuje pravidla správného stolování a společenského chování.",CJS,3.0402446,4.8001657
CJS-CJS-005-ZV5-028,Člověk a jeho svět,Rozlišuje činnosti Armády ČR v době míru a při válečných konfliktech.,"Popíše úlohu občanů při zajišťování bezpečnosti státu (humanitární pomoc, možnost pracovat v ozbrojených složkách). Vyhledá a popíše hlavní úkoly Armády ČR a příklady její činnosti při obraně suverenity a územní celistvosti ČR. Vyhledá a popíše příklady pomoci Armády ČR při ochraně zdraví a bezpečí při mimořádných událostech nevojenského charakteru. Porovná základní činnosti armády v době míru a při válečných konfliktech. Uvede význam zapojení ČR do NATO pro zajištění bezpečnosti státu.","Rozlišuje činnosti Armády ČR v době míru a při válečných konfliktech. Popíše úlohu občanů při zajišťování bezpečnosti státu (humanitární pomoc, možnost pracovat v ozbrojených složkách). Vyhledá a popíše hlavní úkoly Armády ČR a příklady její činnosti při obraně suverenity a územní celistvosti ČR. Vyhledá a popíše příklady pomoci Armády ČR při ochraně zdraví a bezpečí při mimořádných událostech nevojenského charakteru. Porovná základní činnosti armády v době míru a při válečných konfliktech. Uvede význam zapojení ČR do NATO pro zajištění bezpečnosti státu.",CJS,-8.948726,5.2816806
CJS-CJS-005-ZV5-023,Člověk a jeho svět,"Předvede v modelové situaci správné chování podle pravidel silničního provozu, pohybuje se bezpečně a samostatně v reálném silničním provozu v roli chodce i cyklisty.","Popíše a zdůvodní použití zádržných systémů v dopravních prostředcích. Řeší modelové situace silničního provozu jako chodec nebo cyklista. Zdůvodní používání bezpečnostních prvků ve výbavě cyklisty. Demonstruje v modelové situaci nebo při akci školy správné chování ve shodě s pravidly silničního provozu.  Demonstruje v modelové situaci nebo při akci školy bezpečný způsob chování v prostředcích veřejné hromadné přepravy. Zhodnotí cestu, kterou si vyhledá pomocí online aplikace, z hlediska bezpečnosti.","Předvede v modelové situaci správné chování podle pravidel silničního provozu, pohybuje se bezpečně a samostatně v reálném silničním provozu v roli chodce i cyklisty. Popíše a zdůvodní použití zádržných systémů v dopravních prostředcích. Řeší modelové situace silničního provozu jako chodec nebo cyklista. Zdůvodní používání bezpečnostních prvků ve výbavě cyklisty. Demonstruje v modelové situaci nebo při akci školy správné chování ve shodě s pravidly silničního provozu.  Demonstruje v modelové situaci nebo při akci školy bezpečný způsob chování v prostředcích veřejné hromadné přepravy. Zhodnotí cestu, kterou si vyhledá pomocí online aplikace, z hlediska bezpečnosti.",CJS,15.51845,12.489107
CJS-CJS-005-ZV5-024,Člověk a jeho svět,"Využívá poznatky o fungování lidského těla k podpoře vlastního zdravého způsobu života, rozlišuje jednotlivé etapy lidského života.","Charakterizuje jednotlivá období lidského života. Uvede a zdůvodní zásady zdravého způsobu života, které aktuálně dodržuje. Rozliší pozitivní a negativní vlivy způsobu života na činnost organismu. Uvede příklady, kdy se dlouhodobý nevhodný způsob života projeví v podobě nemoci až s časovým odstupem. Uvede funkci nejdůležitějších orgánů a soustav lidského těla – nervová, dýchací, trávicí, vylučovací, pohybová a opěrná, oběhová, smyslová, rozmnožovací. Rozhodne se v modelových situacích účelně ve prospěch zdraví.","Využívá poznatky o fungování lidského těla k podpoře vlastního zdravého způsobu života, rozlišuje jednotlivé etapy lidského života. Charakterizuje jednotlivá období lidského života. Uvede a zdůvodní zásady zdravého způsobu života, které aktuálně dodržuje. Rozliší pozitivní a negativní vlivy způsobu života na činnost organismu. Uvede příklady, kdy se dlouhodobý nevhodný způsob života projeví v podobě nemoci až s časovým odstupem. Uvede funkci nejdůležitějších orgánů a soustav lidského těla – nervová, dýchací, trávicí, vylučovací, pohybová a opěrná, oběhová, smyslová, rozmnožovací. Rozhodne se v modelových situacích účelně ve prospěch zdraví.",CJS,12.822818,1.6414944
CJS-CJS-005-ZV5-026,Člověk a jeho svět,Vysvětlí funkci základních složek Integrovaného záchranného systému a uplatňuje v modelových situacích účelné způsoby chování při mimořádných událostech.,Předvede v modelové situaci základní postupy jednání v případě zaznění varovného signálu. Postupuje podle naučených postupů při modelové evakuaci školy. Uvede na konkrétních příkladech základní úkoly jednotlivých složek IZS při ochraně zdraví a bezpečí obyvatel.,Vysvětlí funkci základních složek Integrovaného záchranného systému a uplatňuje v modelových situacích účelné způsoby chování při mimořádných událostech. Předvede v modelové situaci základní postupy jednání v případě zaznění varovného signálu. Postupuje podle naučených postupů při modelové evakuaci školy. Uvede na konkrétních příkladech základní úkoly jednotlivých složek IZS při ochraně zdraví a bezpečí obyvatel.,CJS,11.277881,6.2095275
CJS-CJS-005-ZV5-031,Člověk a jeho svět,Plánuje vlastní denní režim a uplatňuje v něm základní zdravotně preventivní návyky.,"Popíše/předvede prvky duševní hygieny, které zařazuje do vlastního denního režimu. Zdůvodní potřebu uplatňování základních hygienických opatření při prevenci nákazy i šíření infekčních nemocí. Zhodnotí v modelových situacích, jak může dodržování/nedodržování denního režimu ovlivňovat lidské zdraví.","Plánuje vlastní denní režim a uplatňuje v něm základní zdravotně preventivní návyky. Popíše/předvede prvky duševní hygieny, které zařazuje do vlastního denního režimu. Zdůvodní potřebu uplatňování základních hygienických opatření při prevenci nákazy i šíření infekčních nemocí. Zhodnotí v modelových situacích, jak může dodržování/nedodržování denního režimu ovlivňovat lidské zdraví.",CJS,12.450812,1.2714837
CJS-CJS-005-ZV5-022,Člověk a jeho svět,"Dodržuje pravidla bezpečného pohybu a pobytu v různém prostředí, prokáže zodpovědné jednání při styku s neznámými osobami, předměty a látkami.","Zhodnotí z hlediska bezpečnosti svou cestu do školy a další místa svého obvyklého pohybu mimo domov a školu. Uvádí možná ohrožení, která můžou vzniknout při kontaktu s neznámými lidmi, rozliší, na koho se má obrátit v případě možného ohrožení.  V modelových situacích předvádí, jak by se zachoval v situacích ohrožení, a způsob chování zdůvodňuje. Řídí se zásadami bezpečného pohybu při akcích školy a při pobytu v přírodě. Dává do souvislostí rizika pro pohyb a chování ve vnějším prostředí a povětrnostní podmínky. Rozliší, na koho se má obrátit v případě možného ohrožení nebezpečnou situací. Uvede pravidla bezpečného zacházení s elektrickými přístroji.","Dodržuje pravidla bezpečného pohybu a pobytu v různém prostředí, prokáže zodpovědné jednání při styku s neznámými osobami, předměty a látkami. Zhodnotí z hlediska bezpečnosti svou cestu do školy a další místa svého obvyklého pohybu mimo domov a školu. Uvádí možná ohrožení, která můžou vzniknout při kontaktu s neznámými lidmi, rozliší, na koho se má obrátit v případě možného ohrožení.  V modelových situacích předvádí, jak by se zachoval v situacích ohrožení, a způsob chování zdůvodňuje. Řídí se zásadami bezpečného pohybu při akcích školy a při pobytu v přírodě. Dává do souvislostí rizika pro pohyb a chování ve vnějším prostředí a povětrnostní podmínky. Rozliší, na koho se má obrátit v případě možného ohrožení nebezpečnou situací. Uvede pravidla bezpečného zacházení s elektrickými přístroji.",CJS,18.237434,-0.3178709
CJS-CJS-006-ZV5-033,Člověk a jeho svět,Používá peníze v běžných modelových situacích.,Používá peníze v reálných i modelových situacích.  Zaplatí různými způsoby danou částku.  Vrátí nazpět správný obnos.,Používá peníze v běžných modelových situacích. Používá peníze v reálných i modelových situacích.  Zaplatí různými způsoby danou částku.  Vrátí nazpět správný obnos.,CJS,-8.018098,-13.297967
CJS-CJS-006-ZV5-034,Člověk a jeho svět,"Vysvětlí na příkladu, proč není možné realizovat všechny chtěné výdaje.","Analyzuje finanční možnosti, které má k dispozici. Vyhodnotí finanční náklady na realizaci různých přání. Vyhodnotí na základě finančních možností, zda může realizovat svoje konkrétní přání.","Vysvětlí na příkladu, proč není možné realizovat všechny chtěné výdaje. Analyzuje finanční možnosti, které má k dispozici. Vyhodnotí finanční náklady na realizaci různých přání. Vyhodnotí na základě finančních možností, zda může realizovat svoje konkrétní přání.",CJS,-0.31998616,5.9316435
CJS-CJS-006-ZV5-035,Člověk a jeho svět,Sestaví jednoduchý osobní rozpočet.,"Zpracuje informace o příjmech a výdajích jednotlivce do strukturovaného osobního rozpočtu. Vybere ukázku rozpočtu vyrovnaného, schodkového a přebytkového mezi několika různými jednoduchými rozpočty jednotlivce.","Sestaví jednoduchý osobní rozpočet. Zpracuje informace o příjmech a výdajích jednotlivce do strukturovaného osobního rozpočtu. Vybere ukázku rozpočtu vyrovnaného, schodkového a přebytkového mezi několika různými jednoduchými rozpočty jednotlivce.",CJS,-0.22475244,5.8310347
CAS-DEJ-001-ZV9-010,Dějepis,"Posoudí dopady kolonialismu, imperialismu a dekolonizace na různé skupiny lidí.","Na vybraných příkladech z dějin kolonialismu a imperialismu vysvětlí jejich příčiny a posoudí jejich zamýšlené a nezamýšlené důsledky. Porovná krátkodobé a dlouhodobé dopady dekolonizace a imperialismu na dějiny 20. a 21. století. Popíše a porovná vztahy mezi (ex)kolonizovanými a (ex)kolonizátory. Pomocí příkladu z českých dějin vysvětlí, jak se české země zapojily do koloniálního obchodu nebo výprav a šíření koloniálních myšlenek.   Projevy kulturní či rasové nadřazenosti rozpozná i v používaných zdrojích ve formě různých způsobů zobrazování  druhého  (např. necivilizovanost, divokost, méněcennost, etnické a rasové předsudky).","Posoudí dopady kolonialismu, imperialismu a dekolonizace na různé skupiny lidí. Na vybraných příkladech z dějin kolonialismu a imperialismu vysvětlí jejich příčiny a posoudí jejich zamýšlené a nezamýšlené důsledky. Porovná krátkodobé a dlouhodobé dopady dekolonizace a imperialismu na dějiny 20. a 21. století. Popíše a porovná vztahy mezi (ex)kolonizovanými a (ex)kolonizátory. Pomocí příkladu z českých dějin vysvětlí, jak se české země zapojily do koloniálního obchodu nebo výprav a šíření koloniálních myšlenek.   Projevy kulturní či rasové nadřazenosti rozpozná i v používaných zdrojích ve formě různých způsobů zobrazování  druhého  (např. necivilizovanost, divokost, méněcennost, etnické a rasové předsudky).",DEJ,3.576689,-4.7775974
CAS-DEJ-001-ZV9-004,Dějepis,"Specifikuje proměnu politických útvarů, krajiny a lidských sídel od pravěku po současnost pomocí map a dalších informačních zdrojů.","Používá mapu jako pramen, který odpovídá na žákem položené otázky. Popíše, co na mapě vidí, jaký to má význam pro jeho poznávání minulosti a které další mapové podklady nebo zdroje mu mohou pomoci vyslovené závěry doložit.  Na mapách ukáže, k jakým změnám v průběhu času došlo, a propojí své závěry s historickými událostmi (války, územní nároky, diplomatická jednání a závěry, motivace lidí žijících v daném regionu).","Specifikuje proměnu politických útvarů, krajiny a lidských sídel od pravěku po současnost pomocí map a dalších informačních zdrojů. Používá mapu jako pramen, který odpovídá na žákem položené otázky. Popíše, co na mapě vidí, jaký to má význam pro jeho poznávání minulosti a které další mapové podklady nebo zdroje mu mohou pomoci vyslovené závěry doložit.  Na mapách ukáže, k jakým změnám v průběhu času došlo, a propojí své závěry s historickými událostmi (války, územní nároky, diplomatická jednání a závěry, motivace lidí žijících v daném regionu).",DEJ,-6.2977977,10.153483
CAS-DEJ-001-ZV9-009,Dějepis,"Rozliší příčiny, důsledky a podobu konfliktů a spolupráce v minulosti.","Charakterizuje několik příkladů konfliktů a spolupráce. Vysvětlí, co bylo dlouhodobými a bezprostředními příčinami konfliktů a spolupráce. Posoudí krátkodobé a dlouhodobé i záměrné a nezáměrné důsledky konfliktů a spolupráce. Popíše různé způsoby chování jednotlivých sociálních skupin v konfliktech. Popíše povahu, příčiny a důsledky pronásledování různých skupin obyvatel včetně příkladů pomoci pronásledovaným.","Rozliší příčiny, důsledky a podobu konfliktů a spolupráce v minulosti. Charakterizuje několik příkladů konfliktů a spolupráce. Vysvětlí, co bylo dlouhodobými a bezprostředními příčinami konfliktů a spolupráce. Posoudí krátkodobé a dlouhodobé i záměrné a nezáměrné důsledky konfliktů a spolupráce. Popíše různé způsoby chování jednotlivých sociálních skupin v konfliktech. Popíše povahu, příčiny a důsledky pronásledování různých skupin obyvatel včetně příkladů pomoci pronásledovaným.",DEJ,-0.8755321,1.0202886
CAS-DEJ-001-ZV9-008,Dějepis,Vysvětlí proměny fungování hospodářství od pravěku po současnost.,"Používá vhodné ekonomické pojmy při popisu základních rysů proměny fungování hospodářství a obchodu v minulosti.   Vysvětlí příčiny a důsledky významných hospodářských změn v různých dějinných epochách.  Spojí změny v ekonomice se změnami politickými a sociálními. Vysvětlí, jaké etické a ekologické souvislosti měly v minulosti hospodaření a obchod. Uvede příklady toho, jak společnosti reagovaly na nové výzvy a jak se v minulosti měnily instituce a způsoby života spojené s výrobou a hospodařením.","Vysvětlí proměny fungování hospodářství od pravěku po současnost. Používá vhodné ekonomické pojmy při popisu základních rysů proměny fungování hospodářství a obchodu v minulosti.   Vysvětlí příčiny a důsledky významných hospodářských změn v různých dějinných epochách.  Spojí změny v ekonomice se změnami politickými a sociálními. Vysvětlí, jaké etické a ekologické souvislosti měly v minulosti hospodaření a obchod. Uvede příklady toho, jak společnosti reagovaly na nové výzvy a jak se v minulosti měnily instituce a způsoby života spojené s výrobou a hospodařením.",DEJ,-7.6340847,-12.9155655
CAS-DEJ-001-ZV9-011,Dějepis,"Určí, jak se proměňovaly a v čem zůstávaly stejné genderové role v dějinách.","Analyzuje konkrétní příklady života mužů a žen, případně queer osob v různých historických situacích.  Popíše na základě stanovených ukazatelů, co se v dějinách z hlediska genderových rolí a norem mění a co zůstává stejné.  Uvede příklady diskriminace a/nebo pronásledování lidí, kteří se odlišovali od genderových norem.","Určí, jak se proměňovaly a v čem zůstávaly stejné genderové role v dějinách. Analyzuje konkrétní příklady života mužů a žen, případně queer osob v různých historických situacích.  Popíše na základě stanovených ukazatelů, co se v dějinách z hlediska genderových rolí a norem mění a co zůstává stejné.  Uvede příklady diskriminace a/nebo pronásledování lidí, kteří se odlišovali od genderových norem.",DEJ,14.624709,-9.093479
CAS-DEJ-001-ZV9-001,Dějepis,Přiřadí kulturní projevy k jednotlivým dějinným epochám.,"Popíše a přiřadí různé kulturní projevy v odlišné době a v odlišných regionech světa, k čemuž využívá zdroje různé povahy. Rozliší různé dějinné epochy podle stanovených ukazatelů a k odlišení využívá periodizační mezníky, jejichž výběr dokáže zdůvodnit.  Vyslovuje domněnky, jak a proč se lišil historický vývoj a každodenní život v různých částech světa; svůj názor odůvodní a podloží důkazy z textu či jiných zdrojů.","Přiřadí kulturní projevy k jednotlivým dějinným epochám. Popíše a přiřadí různé kulturní projevy v odlišné době a v odlišných regionech světa, k čemuž využívá zdroje různé povahy. Rozliší různé dějinné epochy podle stanovených ukazatelů a k odlišení využívá periodizační mezníky, jejichž výběr dokáže zdůvodnit.  Vyslovuje domněnky, jak a proč se lišil historický vývoj a každodenní život v různých částech světa; svůj názor odůvodní a podloží důkazy z textu či jiných zdrojů.",DEJ,2.2404628,-0.64739764
CAS-DEJ-001-ZV9-005,Dějepis,"Posoudí, jak se připomínání historických událostí a tradic podílí na utváření jeho osobní identity a identity lidí v jeho okolí.","Vlastními slovy popíše státní a ostatní svátky, významné dny a výročí v ČR (včetně vybraných dnů na nadnárodní úrovni), přiřadí je k datům v kalendáři.    Vysvětlí důvody jejich slavení a připomínání, využívá k tomu historické události, tradice a obyčeje s nimi spojené. Doplňuje kalendář událostmi, které sám považuje za významné nebo je jako významné vnímají lidé v jeho okolí. Vysvětlí, jak svátky a výročí ovlivňují to, jak vnímá sebe sama, jak se vnímají lidé v jeho okolí nebo v celém státě.   Uvede příklady politického zneužívání svátků v minulosti.","Posoudí, jak se připomínání historických událostí a tradic podílí na utváření jeho osobní identity a identity lidí v jeho okolí. Vlastními slovy popíše státní a ostatní svátky, významné dny a výročí v ČR (včetně vybraných dnů na nadnárodní úrovni), přiřadí je k datům v kalendáři.    Vysvětlí důvody jejich slavení a připomínání, využívá k tomu historické události, tradice a obyčeje s nimi spojené. Doplňuje kalendář událostmi, které sám považuje za významné nebo je jako významné vnímají lidé v jeho okolí. Vysvětlí, jak svátky a výročí ovlivňují to, jak vnímá sebe sama, jak se vnímají lidé v jeho okolí nebo v celém státě.   Uvede příklady politického zneužívání svátků v minulosti.",DEJ,7.259788,13.188724
CAS-DEJ-001-ZV9-007,Dějepis,Posoudí pozitivní a negativní vliv technologického vývoje a zejména industrializace na život různých společenských vrstev v minulosti.,"Porovná způsob života několika různých skupin obyvatel před a po vynálezu s využitím různých vhodných zdrojů. Posoudí, zda v dané době byl dopad vynálezu či objevu stejný na různé společenské vrstvy a regiony, nebo zda se lišil. Porovná různé technologické inovace a posoudí míru pozitivního a negativního vlivu na život různých skupin obyvatel.","Posoudí pozitivní a negativní vliv technologického vývoje a zejména industrializace na život různých společenských vrstev v minulosti. Porovná způsob života několika různých skupin obyvatel před a po vynálezu s využitím různých vhodných zdrojů. Posoudí, zda v dané době byl dopad vynálezu či objevu stejný na různé společenské vrstvy a regiony, nebo zda se lišil. Porovná různé technologické inovace a posoudí míru pozitivního a negativního vlivu na život různých skupin obyvatel.",DEJ,-7.67437,-12.956275
CAS-DEJ-001-ZV9-006,Dějepis,Doloží příklady vlivu náboženství na jednání lidí v různých dějinných epochách.,"Porovná tři nejrozšířenější monoteistická náboženství a uvede klíčové okamžiky z jejich dějinného vývoje.   Na příkladech z různých dějinných epoch ilustruje, jak náboženství ovlivňovalo myšlení a jednání lidí, jaké negativní i pozitivní dopady může mít setkání věřících různých náboženství a kultur.    Je schopný se dívat na události náboženských konfliktů z pohledu více stran a rozumí rozdílným zájmům a motivacím.  Vysvětlí pojmy sekularizace a islamizace a používá je pro vysvětlení moderního vývoje v Evropě a islámských zemích.","Doloží příklady vlivu náboženství na jednání lidí v různých dějinných epochách. Porovná tři nejrozšířenější monoteistická náboženství a uvede klíčové okamžiky z jejich dějinného vývoje.   Na příkladech z různých dějinných epoch ilustruje, jak náboženství ovlivňovalo myšlení a jednání lidí, jaké negativní i pozitivní dopady může mít setkání věřících různých náboženství a kultur.    Je schopný se dívat na události náboženských konfliktů z pohledu více stran a rozumí rozdílným zájmům a motivacím.  Vysvětlí pojmy sekularizace a islamizace a používá je pro vysvětlení moderního vývoje v Evropě a islámských zemích.",DEJ,2.2862058,-0.7426222
CAS-DEJ-001-ZV9-003,Dějepis,"Vysvětlí rozdíl mezi zobrazováním minulosti v dějepisectví a ve filmu, v literatuře a v nových médiích včetně produktů umělé inteligence.","Vyhledá v textech příklady kritérii, podle kterých pozná kvalitní historický text – odkazování na primární i sekundární zdroje a argumentace podpořená důkazy. Popíše s využitím příkladů, čím jsou jednotlivé mediální žánry při zacházení s minulostí specifické a jak ovlivňují vnímání publika. Na příkladu vyučujícím vybraného hoaxu nebo dezinformace s historickou tematikou vyhledá kvalitní informace a na jejich základě ověřuje historická tvrzení. Využije umělou inteligenci při zkoumání minulosti.","Vysvětlí rozdíl mezi zobrazováním minulosti v dějepisectví a ve filmu, v literatuře a v nových médiích včetně produktů umělé inteligence. Vyhledá v textech příklady kritérii, podle kterých pozná kvalitní historický text – odkazování na primární i sekundární zdroje a argumentace podpořená důkazy. Popíše s využitím příkladů, čím jsou jednotlivé mediální žánry při zacházení s minulostí specifické a jak ovlivňují vnímání publika. Na příkladu vyučujícím vybraného hoaxu nebo dezinformace s historickou tematikou vyhledá kvalitní informace a na jejich základě ověřuje historická tvrzení. Využije umělou inteligenci při zkoumání minulosti.",DEJ,2.8476443,-1.51367
